"Modulo 1, Leccion 1",
Parte 1,11:37:37
Pedagogical Page Open Time,11:37:37
Pedagogical Page Close Time,11:37:38
Multiplechoice Page Open Time,11:37:38
Multiplechoice Page Close Time,11:37:41
Parte 2,11:37:41
Pedagogical Page Open Time,11:37:41
Parte 1,11:37:41
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,11:37:41
Pedagogical Page Close Time,11:37:44
Pedagogical2 Page Open Time,11:37:44
Pedagogical2 Page Close Time,11:37:45
Parte 3,11:37:45
Pedagogical Page Open Time,11:37:45
Pedagogical Page Close Time,11:37:46
Multiplechoice Page Open Time,11:37:46
Multiplechoice Page Close Time,11:37:49
Parte 4,11:37:49
Draganddrop Page Open Time,11:37:49
Parte 3,11:37:49
Checkbox Selected: Verdadero,11:37:49
Parte 4,11:37:52
Correct Answer Selected: print(729),11:37:52
Draganddrop Page Close Time,11:37:53
Pedagogical Page Open Time,11:37:53
Pedagogical Page Close Time,11:37:53
Parte 5,11:37:53
Multiplechoice Page Open Time,11:37:53
Checkbox Selected: punto y coma ;,11:37:56
Checkbox Selected: comillas '' ,11:37:58
Multiplechoice Page Close Time,11:37:59
Pedagogical Page Open Time,11:37:59
Pedagogical Page Close Time,11:38:00
Parte 6,11:38:00
Pedagogical Page Open Time,11:38:00
Pedagogical Page Close Time,11:38:00

