"Modulo 1, Leccion 1",
Parte 1,11:12:37
Pedagogical Page Open Time,11:12:37
Pedagogical Page Close Time,11:12:39
Multiplechoice Page Open Time,11:12:39
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,11:12:41
Multiplechoice Page Close Time,11:12:42
Parte 2,11:12:42
Pedagogical Page Open Time,11:12:42
Pedagogical Page Close Time,11:12:52
Pedagogical2 Page Open Time,11:12:52
Pedagogical2 Page Close Time,11:12:53
Parte 3,11:12:53
Pedagogical Page Open Time,11:12:53
Pedagogical Page Close Time,11:12:54
Multiplechoice Page Open Time,11:12:54
Checkbox Selected: Verdadero,11:12:58
Multiplechoice Page Close Time,11:12:59
Parte 4,11:12:59
Draganddrop Page Open Time,11:12:59
Correct Answer Selected: print(729),11:13:03
Draganddrop Page Close Time,11:13:04
Pedagogical Page Open Time,11:13:04
Pedagogical Page Close Time,11:13:05
Parte 5,11:13:05
Multiplechoice Page Open Time,11:13:05
Checkbox Selected: comillas '' ,11:13:09
Multiplechoice Page Close Time,11:13:10
Pedagogical Page Open Time,11:13:10
Pedagogical Page Close Time,11:13:10
Parte 6,11:13:10
Pedagogical Page Open Time,11:13:10
Pedagogical Page Close Time,11:13:15

