"Modulo 1, Leccion 1",
Parte 1,15:15:40
Pedagogical Page Open Time,15:15:40
Pedagogical Page Close Time,15:15:41
Multiplechoice Page Open Time,15:15:41
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:15:44
Multiplechoice Page Close Time,15:15:45
Parte 2,15:15:45
Pedagogical Page Open Time,15:15:45
Pedagogical Page Close Time,15:15:48
Pedagogical2 Page Open Time,15:15:48
Pedagogical2 Page Close Time,15:15:49
Parte 3,15:15:49
Pedagogical Page Open Time,15:15:49
Pedagogical Page Close Time,15:15:50
Multiplechoice Page Open Time,15:15:50
Checkbox Selected: Verdadero,15:15:53
Multiplechoice Page Close Time,15:15:54
Parte 4,15:15:54
Draganddrop Page Open Time,15:15:54
Correct Answer Selected: print(729),15:15:58
Draganddrop Page Close Time,15:15:59
Pedagogical Page Open Time,15:15:59
Pedagogical Page Close Time,15:16:00
Parte 5,15:16:00
Multiplechoice Page Open Time,15:16:00
Checkbox Selected: comillas '' ,15:16:03
Multiplechoice Page Close Time,15:16:04
Pedagogical Page Open Time,15:16:04
Pedagogical Page Close Time,15:16:05
Parte 6,15:16:05
Pedagogical Page Open Time,15:16:05
Pedagogical Page Close Time,15:16:05

