"Modulo 1, Leccion 1",
Parte 1,15:02:37
Pedagogical Page Open Time,15:02:37
Pedagogical Page Close Time,15:02:40
Multiplechoice Page Open Time,15:02:40
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:02:42
Multiplechoice Page Close Time,15:02:44
Parte 2,15:02:44
Pedagogical Page Open Time,15:02:44
Pedagogical Page Close Time,15:02:47
Pedagogical2 Page Open Time,15:02:47
Pedagogical2 Page Close Time,15:02:47
Parte 3,15:02:47
Pedagogical Page Open Time,15:02:47
Pedagogical Page Close Time,15:02:48
Multiplechoice Page Open Time,15:02:48
Checkbox Selected: Verdadero,15:02:52
Multiplechoice Page Close Time,15:02:53
Parte 4,15:02:53
Draganddrop Page Open Time,15:02:53
Correct Answer Selected: print(729),15:02:55
Draganddrop Page Close Time,15:02:56
Pedagogical Page Open Time,15:02:56
Pedagogical Page Close Time,15:02:57
Parte 5,15:02:57
Multiplechoice Page Open Time,15:02:57
Checkbox Selected: comillas '' ,15:03:00
Multiplechoice Page Close Time,15:03:01
Pedagogical Page Open Time,15:03:01
Pedagogical Page Close Time,15:03:01
Parte 6,15:03:01
Pedagogical Page Open Time,15:03:01
Pedagogical Page Close Time,15:03:03

