"Modulo 1, Leccion 1",
Parte 1,15:04:20
Pedagogical Page Open Time,15:04:20
Pedagogical Page Close Time,15:04:21
Multiplechoice Page Open Time,15:04:21
Multiplechoice Page Close Time,15:04:24
Parte 2,15:04:24
Pedagogical Page Open Time,15:04:24
Parte 1,15:04:24
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:04:24
Pedagogical Page Close Time,15:04:28
Pedagogical2 Page Open Time,15:04:28
Pedagogical2 Page Close Time,15:04:28
Parte 3,15:04:28
Pedagogical Page Open Time,15:04:28
Pedagogical Page Close Time,15:04:29
Multiplechoice Page Open Time,15:04:29
Multiplechoice Page Close Time,15:04:32
Parte 4,15:04:32
Draganddrop Page Open Time,15:04:32
Parte 3,15:04:32
Checkbox Selected: Verdadero,15:04:32
Draganddrop Page Close Time,15:04:35
Pedagogical Page Open Time,15:04:35
Parte 4,15:04:35
Correct Answer Selected: print(729),15:04:35
Pedagogical Page Close Time,15:04:36
Parte 5,15:04:36
Multiplechoice Page Open Time,15:04:36
Multiplechoice Page Close Time,15:04:39
Pedagogical Page Open Time,15:04:39
Checkbox Selected: comillas '' ,15:04:39
Pedagogical Page Close Time,15:04:40
Parte 6,15:04:40
Pedagogical Page Open Time,15:04:40
Pedagogical Page Close Time,15:04:40

"Modulo 1, Leccion 2",
Parte 1,15:04:52
Pedagogical Page Open Time,15:04:52
Pedagogical Page Close Time,15:04:54
Pedagogical2 Page Open Time,15:04:54
Pedagogical2 Page Close Time,15:04:54
Parte 2,15:04:54
Completeblankspace Page Open Time,15:04:54
Completeblankspace Page Close Time,15:04:59
Pedagogical Page Open Time,15:04:59
Correct Answer Selected: +,15:04:59
Pedagogical Page Close Time,15:05:00
Parte 3,15:05:00
Draganddrop Page Open Time,15:05:00
Correct Answer Selected: print(42 * 3),15:05:05
Draganddrop Page Close Time,15:05:06
Pedagogical Page Open Time,15:05:06
Pedagogical Page Close Time,15:05:06
Parte 4,15:05:06
Multiplechoice Page Open Time,15:05:06
Correct Answer Selected: 4.0,15:05:09
Multiplechoice Page Close Time,15:05:10
Pedagogical Page Open Time,15:05:10
Pedagogical Page Close Time,15:05:10
Parte 5,15:05:10
Draganddrop Page Open Time,15:05:10
Draganddrop Page Close Time,15:05:15
Pedagogical Page Open Time,15:05:15
Correct Answer Selected: Entero:2,15:05:15
Correct Answer Selected: Flotante:3.14,15:05:15
Pedagogical Page Close Time,15:05:16
Parte 6,15:05:16
Pedagogical Page Open Time,15:05:16
Pedagogical Page Close Time,15:05:16
Pedagogical2 Page Open Time,15:05:16
Pedagogical2 Page Close Time,15:05:17
Parte 7,15:05:17
Pedagogical Page Open Time,15:05:17
Pedagogical Page Close Time,15:05:17

"Modulo 1, Leccion 3",
Parte 1,15:05:24
Pedagogical Page Open Time,15:05:24
Pedagogical Page Close Time,15:05:26
Pedagogical2 Page Open Time,15:05:26
Pedagogical2 Page Close Time,15:05:27
Parte 2,15:05:27
Multiplechoice Page Open Time,15:05:27
Checkbox Selected: 'Viernes',15:05:30
Checkbox Selected: 'The Lord of the Rings',15:05:30
Multiplechoice Page Close Time,15:05:31
