"Modulo 1, Leccion 1",
Parte 1,17:24:54
Pedagogical Page Open Time,17:24:54
Pedagogical Page Close Time,17:24:56
Multiplechoice Page Open Time,17:24:56
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:24:58
Multiplechoice Page Close Time,17:24:59
Parte 2,17:24:59
Pedagogical Page Open Time,17:24:59
Pedagogical Page Close Time,17:25:02
Pedagogical2 Page Open Time,17:25:02
Pedagogical2 Page Close Time,17:25:03
Parte 3,17:25:03
Pedagogical Page Open Time,17:25:03
Pedagogical Page Close Time,17:25:03
Multiplechoice Page Open Time,17:25:03
Multiplechoice Page Close Time,17:25:06
Parte 4,17:25:06
Draganddrop Page Open Time,17:25:06
Parte 3,17:25:06
Checkbox Selected: Verdadero,17:25:06
Draganddrop Page Close Time,17:25:09
Pedagogical Page Open Time,17:25:09
Parte 4,17:25:09
Correct Answer Selected: print(729),17:25:09
Pedagogical Page Close Time,17:25:10
Parte 5,17:25:10
Multiplechoice Page Open Time,17:25:10
Multiplechoice Page Close Time,17:25:13
Pedagogical Page Open Time,17:25:13
Checkbox Selected: comillas '' ,17:25:13
Pedagogical Page Close Time,17:25:14
Parte 6,17:25:14
Pedagogical Page Open Time,17:25:14
Pedagogical Page Close Time,17:25:15

