"Modulo 1, Leccion 1",
Parte 1,18:04:31
Pedagogical Page Open Time,18:04:31
Pedagogical Page Close Time,18:04:33
Multiplechoice Page Open Time,18:04:33
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:04:36
Multiplechoice Page Close Time,18:04:37
Parte 2,18:04:37
Pedagogical Page Open Time,18:04:37
Pedagogical Page Close Time,18:04:40
Pedagogical2 Page Open Time,18:04:40
Pedagogical2 Page Close Time,18:04:41
Parte 3,18:04:41
Pedagogical Page Open Time,18:04:41
Pedagogical Page Close Time,18:04:42
Multiplechoice Page Open Time,18:04:42
Checkbox Selected: Verdadero,18:04:45
Multiplechoice Page Close Time,18:04:46
Parte 4,18:04:46
Draganddrop Page Open Time,18:04:46
Draganddrop Page Close Time,18:04:49
Pedagogical Page Open Time,18:04:49
Correct Answer Selected: print(729),18:04:49
Pedagogical Page Close Time,18:04:50
Parte 5,18:04:50
Multiplechoice Page Open Time,18:04:50
Multiplechoice Page Close Time,18:04:55
Pedagogical Page Open Time,18:04:55
Checkbox Selected: comillas '' ,18:04:55
Pedagogical Page Close Time,18:04:56
Parte 6,18:04:56
Pedagogical Page Open Time,18:04:56
Pedagogical Page Close Time,18:04:57

