"Modulo 1, Leccion 1",
Parte 1,14:27:53
Pedagogical Page Open Time,14:27:53
Pedagogical Page Close Time,14:27:55
Multiplechoice Page Open Time,14:27:55
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:27:57
Multiplechoice Page Close Time,14:27:58
Parte 2,14:27:58
Pedagogical Page Open Time,14:27:58
Pedagogical Page Close Time,14:28:00
Pedagogical2 Page Open Time,14:28:00
Pedagogical2 Page Close Time,14:28:01
Parte 3,14:28:01
Pedagogical Page Open Time,14:28:01
Pedagogical Page Close Time,14:28:01
Multiplechoice Page Open Time,14:28:01
Multiplechoice Page Close Time,14:28:04
Parte 4,14:28:04
Draganddrop Page Open Time,14:28:04
Parte 3,14:28:04
Checkbox Selected: Verdadero,14:28:04
Parte 4,14:28:07
Correct Answer Selected: print(729),14:28:07
Draganddrop Page Close Time,14:28:08
Pedagogical Page Open Time,14:28:08
Pedagogical Page Close Time,14:28:08
Parte 5,14:28:08
Multiplechoice Page Open Time,14:28:08
Multiplechoice Page Close Time,14:28:12
Pedagogical Page Open Time,14:28:12
Checkbox Selected: comillas '' ,14:28:12
Pedagogical Page Close Time,14:28:13
Parte 6,14:28:13
Pedagogical Page Open Time,14:28:13
Pedagogical Page Close Time,14:28:14

