"Modulo 1, Leccion 1",
Parte 1,10:35:52
Pedagogical Page Open Time,10:35:52
Pedagogical Page Close Time,10:35:53
Multiplechoice Page Open Time,10:35:53
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,10:35:56
Multiplechoice Page Close Time,10:35:57
Parte 2,10:35:57
Pedagogical Page Open Time,10:35:57
Pedagogical Page Close Time,10:36:01
Pedagogical2 Page Open Time,10:36:01
Pedagogical2 Page Close Time,10:36:02
Parte 3,10:36:02
Pedagogical Page Open Time,10:36:02
Pedagogical Page Close Time,10:36:03
Multiplechoice Page Open Time,10:36:03
Checkbox Selected: Verdadero,10:36:06
Multiplechoice Page Close Time,10:36:07
Parte 4,10:36:07
Draganddrop Page Open Time,10:36:07
Correct Answer Selected: print(729),10:36:09
Draganddrop Page Close Time,10:36:10
Pedagogical Page Open Time,10:36:10
Pedagogical Page Close Time,10:36:10
Parte 5,10:36:10
Multiplechoice Page Open Time,10:36:10
Multiplechoice Page Close Time,10:36:14
Pedagogical Page Open Time,10:36:14
Checkbox Selected: comillas '' ,10:36:14
Pedagogical Page Close Time,10:36:15
Parte 6,10:36:15
Pedagogical Page Open Time,10:36:15
Pedagogical Page Close Time,10:36:16

"Modulo 1, Leccion 2",
Parte 1,10:36:24
Pedagogical Page Open Time,10:36:24
Pedagogical Page Close Time,10:36:26
Pedagogical2 Page Open Time,10:36:26
Pedagogical2 Page Close Time,10:36:27
Parte 2,10:36:27
Completeblankspace Page Open Time,10:36:27
Correct Answer Selected: +,10:36:33
Completeblankspace Page Close Time,10:36:34
Pedagogical Page Open Time,10:36:34
Pedagogical Page Close Time,10:36:35
Parte 3,10:36:35
Draganddrop Page Open Time,10:36:35
Draganddrop Page Close Time,10:36:43
Pedagogical Page Open Time,10:36:43
Correct Answer Selected: print(42 * 3),10:36:43
Pedagogical Page Close Time,10:36:44
Parte 4,10:36:44
Multiplechoice Page Open Time,10:36:44
Correct Answer Selected: 4.0,10:36:47
Multiplechoice Page Close Time,10:36:48
Pedagogical Page Open Time,10:36:48
Pedagogical Page Close Time,10:36:49
Parte 5,10:36:49
Draganddrop Page Open Time,10:36:49
Correct Answer Selected: Entero:2,10:36:57
Correct Answer Selected: Flotante:3.14,10:36:57
Draganddrop Page Close Time,10:36:58
Pedagogical Page Open Time,10:36:58
Pedagogical Page Close Time,10:36:58
Parte 6,10:36:58
Pedagogical Page Open Time,10:36:58
Pedagogical Page Close Time,10:36:59
Pedagogical2 Page Open Time,10:36:59
Pedagogical2 Page Close Time,10:37:00
Parte 7,10:37:00
Pedagogical Page Open Time,10:37:00
Pedagogical Page Close Time,10:37:00

"Modulo 1, Leccion 3",
Parte 1,10:37:08
Pedagogical Page Open Time,10:37:08
Pedagogical Page Close Time,10:37:09
Pedagogical2 Page Open Time,10:37:09
Pedagogical2 Page Close Time,10:37:10
Parte 2,10:37:10
Multiplechoice Page Open Time,10:37:10
Checkbox Selected: 'Viernes',10:37:14
Checkbox Selected: 'The Lord of the Rings',10:37:14
Multiplechoice Page Close Time,10:37:15
Pedagogical Page Open Time,10:37:15
Pedagogical Page Close Time,10:37:16
Parte 3,10:37:16
Draganddrop Page Open Time,10:37:16
Draganddrop Page Close Time,10:37:22
Pedagogical Page Open Time,10:37:22
Correct Drop Event: Water,10:37:22
Correct Drop Event: +,10:37:22
Correct Drop Event: Park,10:37:22
Pedagogical Page Close Time,10:37:23
Parte 4,10:37:23
Multiplechoice Page Open Time,10:37:23
Multiplechoice Page Close Time,10:37:28
Draganddrop Page Open Time,10:37:28
Checkbox Selected: '100',10:37:28
Checkbox Selected: 'Manzana',10:37:28
Correct Answer Selected: 100,10:37:39
Correct Answer Selected: 100.00,10:37:39
Correct Answer Selected: 'cien',10:37:39
Draganddrop Page Close Time,10:37:50
Parte 5,10:37:50
Pedagogical Page Open Time,10:37:50
Pedagogical Page Close Time,10:37:51
Pedagogical2 Page Open Time,10:37:51
Pedagogical2 Page Close Time,10:37:52
Parte 6,10:37:52
Pedagogical Page Open Time,10:37:52
Pedagogical Page Close Time,10:37:53

"Modulo 1, Leccion 4",
Parte 1,10:38:00
Pedagogical Page Open Time,10:38:00
Pedagogical Page Close Time,10:38:02
