"Modulo 1, Leccion 1",
Parte 1,14:37:15
Pedagogical Page Open Time,14:37:15
Pedagogical Page Close Time,14:37:17
Multiplechoice Page Open Time,14:37:17
Multiplechoice Page Close Time,14:37:19
Parte 2,14:37:19
Pedagogical Page Open Time,14:37:19
Parte 1,14:37:19
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:37:19
Pedagogical Page Close Time,14:37:23
Pedagogical2 Page Open Time,14:37:23
Pedagogical2 Page Close Time,14:37:23
Parte 3,14:37:23
Pedagogical Page Open Time,14:37:23
Pedagogical Page Close Time,14:37:24
Multiplechoice Page Open Time,14:37:24
Multiplechoice Page Close Time,14:37:29
Parte 4,14:37:29
Draganddrop Page Open Time,14:37:29
Parte 3,14:37:29
Checkbox Selected: Verdadero,14:37:29
Draganddrop Page Close Time,14:37:33
Pedagogical Page Open Time,14:37:33
Parte 4,14:37:33
Correct Answer Selected: print(729),14:37:33
Pedagogical Page Close Time,14:37:34
Parte 5,14:37:34
Multiplechoice Page Open Time,14:37:34
Multiplechoice Page Close Time,14:37:37
Pedagogical Page Open Time,14:37:37
Checkbox Selected: comillas '' ,14:37:37
Pedagogical Page Close Time,14:37:38
Parte 6,14:37:38
Pedagogical Page Open Time,14:37:38
Pedagogical Page Close Time,14:37:39

