"Modulo 1, Leccion 1",
Parte 1,11:04:08
Pedagogical Page Open Time,11:04:08
Pedagogical Page Close Time,11:04:09
Multiplechoice Page Open Time,11:04:09
Multiplechoice Page Close Time,11:04:12
Parte 2,11:04:12
Pedagogical Page Open Time,11:04:12
Parte 1,11:04:12
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,11:04:12
Pedagogical Page Close Time,11:04:16
Pedagogical2 Page Open Time,11:04:16
Pedagogical2 Page Close Time,11:04:16
Parte 3,11:04:16
Pedagogical Page Open Time,11:04:16
Pedagogical Page Close Time,11:04:17
Multiplechoice Page Open Time,11:04:17
Checkbox Selected: Verdadero,11:04:19
Multiplechoice Page Close Time,11:04:20
Parte 4,11:04:20
Draganddrop Page Open Time,11:04:20
Draganddrop Page Close Time,11:04:22
Pedagogical Page Open Time,11:04:22
Correct Answer Selected: print(729),11:04:22
Pedagogical Page Close Time,11:04:23
Parte 5,11:04:23
Multiplechoice Page Open Time,11:04:23
Checkbox Selected: comillas '' ,11:04:26
Multiplechoice Page Close Time,11:04:27
Pedagogical Page Open Time,11:04:27
Pedagogical Page Close Time,11:04:29
Parte 6,11:04:29
Pedagogical Page Open Time,11:04:29
Pedagogical Page Close Time,11:04:30

"Modulo 1, Leccion 2",
Parte 1,11:04:36
Pedagogical Page Open Time,11:04:36
Pedagogical Page Close Time,11:04:38
Pedagogical2 Page Open Time,11:04:38
Pedagogical2 Page Close Time,11:04:40
Parte 2,11:04:40
Completeblankspace Page Open Time,11:04:40
Correct Answer Selected: +,11:04:44
Completeblankspace Page Close Time,11:04:45
Pedagogical Page Open Time,11:04:45
Pedagogical Page Close Time,11:04:46
Parte 3,11:04:46
Draganddrop Page Open Time,11:04:46
Draganddrop Page Close Time,11:04:50
Pedagogical Page Open Time,11:04:50
Correct Answer Selected: print(42 * 3),11:04:50
Pedagogical Page Close Time,11:04:51
Parte 4,11:04:51
Multiplechoice Page Open Time,11:04:51
Multiplechoice Page Close Time,11:04:54
Pedagogical Page Open Time,11:04:54
Correct Answer Selected: 4.0,11:04:54
Pedagogical Page Close Time,11:04:55
Parte 5,11:04:55
Draganddrop Page Open Time,11:04:55
Draganddrop Page Close Time,11:04:59
