"Modulo 1, Leccion 1",
Parte 1,11:09:32
Pedagogical Page Open Time,11:09:32
Pedagogical Page Close Time,11:09:34
Multiplechoice Page Open Time,11:09:34
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,11:09:36
Multiplechoice Page Close Time,11:09:37
Parte 2,11:09:37
Pedagogical Page Open Time,11:09:37
Pedagogical Page Close Time,11:09:40
Pedagogical2 Page Open Time,11:09:40
Pedagogical2 Page Close Time,11:09:40
Parte 3,11:09:40
Pedagogical Page Open Time,11:09:40
Pedagogical Page Close Time,11:09:41
Multiplechoice Page Open Time,11:09:41
Multiplechoice Page Close Time,11:09:44
Parte 4,11:09:44
Draganddrop Page Open Time,11:09:44
Parte 3,11:09:44
Checkbox Selected: Verdadero,11:09:44
Draganddrop Page Close Time,11:09:47
Pedagogical Page Open Time,11:09:47
Parte 4,11:09:47
Correct Answer Selected: print(729),11:09:47
Pedagogical Page Close Time,11:09:48
Parte 5,11:09:48
Multiplechoice Page Open Time,11:09:48
Multiplechoice Page Close Time,11:09:51
Pedagogical Page Open Time,11:09:51
Pedagogical Page Close Time,11:09:51
Parte 6,11:09:51
Pedagogical Page Open Time,11:09:51
Parte 5,11:09:51
Checkbox Selected: comillas '' ,11:09:51
Pedagogical Page Close Time,11:09:53

