"Modulo 1, Leccion 1",
Parte 1,08:51:08
Pedagogical Page Open Time,08:51:08
Pedagogical Page Close Time,08:51:13
Multiplechoice Page Open Time,08:51:13
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,08:51:15
Multiplechoice Page Close Time,08:51:17
Parte 2,08:51:17
Pedagogical Page Open Time,08:51:17
Pedagogical Page Close Time,08:51:20
Pedagogical2 Page Open Time,08:51:20
Pedagogical2 Page Close Time,08:51:21
Parte 3,08:51:21
Pedagogical Page Open Time,08:51:21
Pedagogical Page Close Time,08:51:21
Multiplechoice Page Open Time,08:51:21
Checkbox Selected: Verdadero,08:51:23
Multiplechoice Page Close Time,08:51:25
Parte 4,08:51:25
Draganddrop Page Open Time,08:51:25
Correct Answer Selected: print(729),08:51:28
Draganddrop Page Close Time,08:51:29
Pedagogical Page Open Time,08:51:29
Pedagogical Page Close Time,08:51:30
Parte 5,08:51:30
Multiplechoice Page Open Time,08:51:30
Checkbox Selected: comillas '' ,08:51:33
Multiplechoice Page Close Time,08:51:34
Pedagogical Page Open Time,08:51:34
Pedagogical Page Close Time,08:51:35
Parte 6,08:51:35
Pedagogical Page Open Time,08:51:35
Pedagogical Page Close Time,08:51:35

