"Modulo 1, Leccion 1",
Parte 1,21:29:04
Pedagogical Page Open Time,21:29:04
Pedagogical Page Close Time,21:29:09
Multiplechoice Page Open Time,21:29:09
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,21:29:12
Multiplechoice Page Close Time,21:29:14
Parte 2,21:29:14
Pedagogical Page Open Time,21:29:14
Pedagogical Page Close Time,21:29:17
Pedagogical2 Page Open Time,21:29:17
Pedagogical2 Page Close Time,21:29:17
Parte 3,21:29:17
Pedagogical Page Open Time,21:29:17
Pedagogical Page Close Time,21:29:18
Multiplechoice Page Open Time,21:29:18
Checkbox Selected: Verdadero,21:29:21
Multiplechoice Page Close Time,21:29:23
Parte 4,21:29:23
Draganddrop Page Open Time,21:29:23
Correct Answer Selected: print(729),21:29:26
Draganddrop Page Close Time,21:29:27
Pedagogical Page Open Time,21:29:27
Pedagogical Page Close Time,21:29:28
Parte 5,21:29:28
Multiplechoice Page Open Time,21:29:28
Checkbox Selected: comillas '' ,21:29:31
Multiplechoice Page Close Time,21:29:33
Pedagogical Page Open Time,21:29:33
Pedagogical Page Close Time,21:29:34
Parte 6,21:29:34
Pedagogical Page Open Time,21:29:34
Pedagogical Page Close Time,21:29:34

