"Modulo 1, Leccion 1",
Parte 1,10:14:49
Pedagogical Page Open Time,10:14:49
Pedagogical Page Close Time,10:14:51
Multiplechoice Page Open Time,10:14:51
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,10:14:54
Multiplechoice Page Close Time,10:14:56
Parte 2,10:14:56
Pedagogical Page Open Time,10:14:56
Pedagogical Page Close Time,10:15:04
Pedagogical2 Page Open Time,10:15:04
Pedagogical2 Page Close Time,10:15:05
Parte 3,10:15:05
Pedagogical Page Open Time,10:15:05
Pedagogical Page Close Time,10:15:06
Multiplechoice Page Open Time,10:15:06
Checkbox Selected: Verdadero,10:15:11
Multiplechoice Page Close Time,10:15:12
Parte 4,10:15:12
Draganddrop Page Open Time,10:15:12
Correct Answer Selected: print(729),10:15:15
Draganddrop Page Close Time,10:15:16
Pedagogical Page Open Time,10:15:16
Pedagogical Page Close Time,10:15:17
Parte 5,10:15:17
Multiplechoice Page Open Time,10:15:17
Checkbox Selected: comillas '' ,10:15:20
Multiplechoice Page Close Time,10:15:22
Pedagogical Page Open Time,10:15:22
Pedagogical Page Close Time,10:15:23
Parte 6,10:15:23
Pedagogical Page Open Time,10:15:23
Pedagogical Page Close Time,10:15:25

"Modulo 1, Leccion 2",
Parte 1,10:15:43
Pedagogical Page Open Time,10:15:43
Pedagogical Page Close Time,10:15:45
Pedagogical2 Page Open Time,10:15:45
Pedagogical2 Page Close Time,10:15:46
Parte 2,10:15:46
Completeblankspace Page Open Time,10:15:46
Correct Answer Selected: +,10:15:51
Completeblankspace Page Close Time,10:15:52
Pedagogical Page Open Time,10:15:52
Pedagogical Page Close Time,10:15:52
Parte 3,10:15:52
Draganddrop Page Open Time,10:15:52
Correct Answer Selected: print(42 * 3),10:15:57
Draganddrop Page Close Time,10:15:58
Pedagogical Page Open Time,10:15:58
Pedagogical Page Close Time,10:15:59
Parte 4,10:15:59
Multiplechoice Page Open Time,10:15:59
Multiplechoice Page Close Time,10:16:02
Pedagogical Page Open Time,10:16:02
Correct Answer Selected: 4.0,10:16:02
Pedagogical Page Close Time,10:16:03
Parte 5,10:16:03
Draganddrop Page Open Time,10:16:03
Correct Answer Selected: Entero:2,10:16:08
Correct Answer Selected: Flotante:3.14,10:16:08
Draganddrop Page Close Time,10:16:09
Pedagogical Page Open Time,10:16:09
Pedagogical Page Close Time,10:16:10
Parte 6,10:16:10
Pedagogical Page Open Time,10:16:10
Pedagogical Page Close Time,10:16:10
Pedagogical2 Page Open Time,10:16:10
Pedagogical2 Page Close Time,10:16:11
Parte 7,10:16:11
Pedagogical Page Open Time,10:16:11
Pedagogical Page Close Time,10:16:11

"Modulo 1, Leccion 3",
Parte 1,10:16:18
Pedagogical Page Open Time,10:16:18
Pedagogical Page Close Time,10:16:19
Pedagogical2 Page Open Time,10:16:19
Pedagogical2 Page Close Time,10:16:20
Parte 2,10:16:20
Multiplechoice Page Open Time,10:16:20
