"Modulo 1, Leccion 1",
Parte 1,17:42:18
Pedagogical Page Open Time,17:42:18
Pedagogical Page Close Time,17:42:20
Multiplechoice Page Open Time,17:42:20
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:42:23
Multiplechoice Page Close Time,17:42:24
Parte 2,17:42:24
Pedagogical Page Open Time,17:42:24
Pedagogical Page Close Time,17:42:27
Pedagogical2 Page Open Time,17:42:27
Pedagogical2 Page Close Time,17:42:28
Parte 3,17:42:28
Pedagogical Page Open Time,17:42:28
Pedagogical Page Close Time,17:42:28
Multiplechoice Page Open Time,17:42:28
Checkbox Selected: Verdadero,17:42:31
Multiplechoice Page Close Time,17:42:32
Parte 4,17:42:32
Draganddrop Page Open Time,17:42:32
Correct Answer Selected: print(729),17:42:34
Draganddrop Page Close Time,17:42:35
Pedagogical Page Open Time,17:42:35
Pedagogical Page Close Time,17:42:35
Parte 5,17:42:35
Multiplechoice Page Open Time,17:42:35
Checkbox Selected: comillas '' ,17:42:38
Multiplechoice Page Close Time,17:42:39
Pedagogical Page Open Time,17:42:39
Pedagogical Page Close Time,17:42:40
Parte 6,17:42:40
Pedagogical Page Open Time,17:42:40
Pedagogical Page Close Time,17:42:40

