"Modulo 1, Leccion 1",
Parte 1,17:51:54
Pedagogical Page Open Time,17:51:54
Pedagogical Page Close Time,17:51:55
Multiplechoice Page Open Time,17:51:55
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:51:57
Multiplechoice Page Close Time,17:51:58
Parte 2,17:51:58
Pedagogical Page Open Time,17:51:58
Pedagogical Page Close Time,17:52:01
Pedagogical2 Page Open Time,17:52:01
Pedagogical2 Page Close Time,17:52:02
Parte 3,17:52:02
Pedagogical Page Open Time,17:52:02
Pedagogical Page Close Time,17:52:03
Multiplechoice Page Open Time,17:52:03
Multiplechoice Page Close Time,17:52:06
Parte 4,17:52:06
Draganddrop Page Open Time,17:52:06
Parte 3,17:52:06
Checkbox Selected: Verdadero,17:52:06
Draganddrop Page Close Time,17:52:09
Pedagogical Page Open Time,17:52:09
Parte 4,17:52:09
Correct Answer Selected: print(729),17:52:09
Pedagogical Page Close Time,17:52:10
Parte 5,17:52:10
Multiplechoice Page Open Time,17:52:10
Multiplechoice Page Close Time,17:52:13
Pedagogical Page Open Time,17:52:13
Checkbox Selected: comillas '' ,17:52:13
Pedagogical Page Close Time,17:52:14
Parte 6,17:52:14
Pedagogical Page Open Time,17:52:14
Pedagogical Page Close Time,17:52:14

"Modulo 1, Leccion 2",
Parte 1,17:58:06
Pedagogical Page Open Time,17:58:06
Pedagogical Page Close Time,17:58:08
Pedagogical2 Page Open Time,17:58:08
Pedagogical2 Page Close Time,17:58:10
Parte 2,17:58:10
Completeblankspace Page Open Time,17:58:10
Correct Answer Selected: +,17:58:17
Completeblankspace Page Close Time,17:58:18
Pedagogical Page Open Time,17:58:18
Pedagogical Page Close Time,17:58:19
Parte 3,17:58:19
Draganddrop Page Open Time,17:58:19
Draganddrop Page Close Time,17:58:24
Pedagogical Page Open Time,17:58:24
Correct Answer Selected: print(42 * 3),17:58:24
Pedagogical Page Close Time,17:58:25
Parte 4,17:58:25
Multiplechoice Page Open Time,17:58:25
Correct Answer Selected: 4.0,17:58:27
Multiplechoice Page Close Time,17:58:28
Pedagogical Page Open Time,17:58:28
Pedagogical Page Close Time,17:58:28
Parte 5,17:58:28
Draganddrop Page Open Time,17:58:28
Draganddrop Page Close Time,17:58:33
Pedagogical Page Open Time,17:58:33
Correct Answer Selected: Entero:2,17:58:33
Correct Answer Selected: Flotante:3.14,17:58:33
Pedagogical Page Close Time,17:58:34
Parte 6,17:58:34
Pedagogical Page Open Time,17:58:34
Pedagogical Page Close Time,17:58:35
Pedagogical2 Page Open Time,17:58:35
Pedagogical2 Page Close Time,17:58:35
Parte 7,17:58:35
Pedagogical Page Open Time,17:58:35
Pedagogical Page Close Time,17:58:36

"Modulo 1, Leccion 3",
Parte 1,17:58:58
Pedagogical Page Open Time,17:58:58
Pedagogical Page Close Time,17:59:00
Pedagogical2 Page Open Time,17:59:00
Pedagogical2 Page Close Time,17:59:01
Parte 2,17:59:01
Multiplechoice Page Open Time,17:59:01
Multiplechoice Page Close Time,17:59:05
Pedagogical Page Open Time,17:59:05
Checkbox Selected: 'Viernes',17:59:05
