"Modulo 1, Leccion 1",
Parte 1,15:11:08
Pedagogical Page Open Time,15:11:08
Pedagogical Page Close Time,15:11:10
Multiplechoice Page Open Time,15:11:10
Multiplechoice Page Close Time,15:11:12
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:11:12
Parte 2,15:11:13
Pedagogical Page Open Time,15:11:13
Pedagogical Page Close Time,15:11:16
Pedagogical2 Page Open Time,15:11:16
Pedagogical2 Page Close Time,15:11:16
Parte 3,15:11:16
Pedagogical Page Open Time,15:11:16
Pedagogical Page Close Time,15:11:17
Multiplechoice Page Open Time,15:11:17
Checkbox Selected: Verdadero,15:11:19
Multiplechoice Page Close Time,15:11:20
Parte 4,15:11:20
Draganddrop Page Open Time,15:11:20
Incorrect Answer Selected: <Espacio para respuesta>(729),15:11:20
Draganddrop Page Close Time,15:11:24
Pedagogical Page Open Time,15:11:24
Correct Answer Selected: print(729),15:11:24
Pedagogical Page Close Time,15:11:25
Parte 5,15:11:25
Multiplechoice Page Open Time,15:11:25
Multiplechoice Page Close Time,15:11:28
Pedagogical Page Open Time,15:11:28
Checkbox Selected: comillas '' ,15:11:28
Pedagogical Page Close Time,15:11:29
Parte 6,15:11:29
Pedagogical Page Open Time,15:11:29
Pedagogical Page Close Time,15:11:30

