"Modulo 1, Leccion 1",
Parte 1,16:24:36
Pedagogical Page Open Time,16:24:36
Pedagogical Page Close Time,16:24:37
Multiplechoice Page Open Time,16:24:37
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,16:24:39
Multiplechoice Page Close Time,16:24:42
Parte 2,16:24:42
Pedagogical Page Open Time,16:24:42
Pedagogical Page Close Time,16:24:45
Pedagogical2 Page Open Time,16:24:45
Pedagogical2 Page Close Time,16:24:46
Parte 3,16:24:46
Pedagogical Page Open Time,16:24:46
Pedagogical Page Close Time,16:24:46
Multiplechoice Page Open Time,16:24:46
Multiplechoice Page Close Time,16:24:49
Parte 4,16:24:49
Draganddrop Page Open Time,16:24:49
Parte 3,16:24:49
Checkbox Selected: Verdadero,16:24:49
Parte 4,16:24:52
Correct Answer Selected: print(729),16:24:52
Draganddrop Page Close Time,16:24:53
Pedagogical Page Open Time,16:24:53
Pedagogical Page Close Time,16:24:54
Parte 5,16:24:54
Multiplechoice Page Open Time,16:24:54
Checkbox Selected: comillas '' ,16:24:56
Multiplechoice Page Close Time,16:24:57
Pedagogical Page Open Time,16:24:57
Pedagogical Page Close Time,16:24:57
Parte 6,16:24:57
Pedagogical Page Open Time,16:24:57
Pedagogical Page Close Time,16:24:58

