"Modulo 1, Leccion 1",
Parte 1,14:23:53
Pedagogical Page Open Time,14:23:53
Pedagogical Page Close Time,14:23:55
Multiplechoice Page Open Time,14:23:55
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:23:57
Multiplechoice Page Close Time,14:23:58
Parte 2,14:23:58
Pedagogical Page Open Time,14:23:58
Pedagogical Page Close Time,14:24:00
Pedagogical2 Page Open Time,14:24:00
Pedagogical2 Page Close Time,14:24:01
Parte 3,14:24:01
Pedagogical Page Open Time,14:24:01
Pedagogical Page Close Time,14:24:02
Multiplechoice Page Open Time,14:24:02
Checkbox Selected: Verdadero,14:24:04
Multiplechoice Page Close Time,14:24:05
Parte 4,14:24:05
Draganddrop Page Open Time,14:24:05
Draganddrop Page Close Time,14:24:10
Pedagogical Page Open Time,14:24:10
Correct Answer Selected: print(729),14:24:10
Pedagogical Page Close Time,14:24:11
Parte 5,14:24:11
Multiplechoice Page Open Time,14:24:11
Checkbox Selected: comillas '' ,14:24:14
Multiplechoice Page Close Time,14:24:15
Pedagogical Page Open Time,14:24:15
Pedagogical Page Close Time,14:24:15
Parte 6,14:24:15
Pedagogical Page Open Time,14:24:15
Pedagogical Page Close Time,14:24:16

