"Modulo 1, Leccion 1",
Parte 1,18:29:10
Pedagogical Page Open Time,18:29:10
Pedagogical Page Close Time,18:29:16
Multiplechoice Page Open Time,18:29:16
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:29:20
Multiplechoice Page Close Time,18:29:21
Parte 2,18:29:21
Pedagogical Page Open Time,18:29:21
Pedagogical Page Close Time,18:29:24
Pedagogical2 Page Open Time,18:29:24
Pedagogical2 Page Close Time,18:29:25
Parte 3,18:29:25
Pedagogical Page Open Time,18:29:25
Pedagogical Page Close Time,18:29:25
Multiplechoice Page Open Time,18:29:25
Checkbox Selected: Verdadero,18:29:28
Multiplechoice Page Close Time,18:29:29
Parte 4,18:29:29
Draganddrop Page Open Time,18:29:29
Correct Answer Selected: print(729),18:29:34
Draganddrop Page Close Time,18:29:35
Pedagogical Page Open Time,18:29:35
Pedagogical Page Close Time,18:29:36
Parte 5,18:29:36
Multiplechoice Page Open Time,18:29:36
Checkbox Selected: comillas '' ,18:29:40
Multiplechoice Page Close Time,18:29:41
Pedagogical Page Open Time,18:29:41
Pedagogical Page Close Time,18:29:42
Parte 6,18:29:42
Pedagogical Page Open Time,18:29:42
Pedagogical Page Close Time,18:29:43

