"Modulo 1, Leccion 1",
Parte 1,13:01:58
Pedagogical Page Open Time,13:01:58
Pedagogical Page Close Time,13:02:00
Multiplechoice Page Open Time,13:02:00
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:02:03
Multiplechoice Page Close Time,13:02:04
Parte 2,13:02:04
Pedagogical Page Open Time,13:02:04
Pedagogical Page Close Time,13:02:08
Pedagogical2 Page Open Time,13:02:08
Pedagogical2 Page Close Time,13:02:09
Parte 3,13:02:09
Pedagogical Page Open Time,13:02:09
Pedagogical Page Close Time,13:02:10
Multiplechoice Page Open Time,13:02:10
Checkbox Selected: Verdadero,13:02:14
Multiplechoice Page Close Time,13:02:15
Parte 4,13:02:15
Draganddrop Page Open Time,13:02:15
Correct Answer Selected: print(729),13:02:19
Draganddrop Page Close Time,13:02:20
Pedagogical Page Open Time,13:02:20
Pedagogical Page Close Time,13:02:20
Parte 5,13:02:20
Multiplechoice Page Open Time,13:02:20
Checkbox Selected: comillas '' ,13:02:24
Multiplechoice Page Close Time,13:02:25
Pedagogical Page Open Time,13:02:25
Pedagogical Page Close Time,13:02:25
Parte 6,13:02:25
Pedagogical Page Open Time,13:02:25
Pedagogical Page Close Time,13:02:26

