"Modulo 1, Leccion 1",
Parte 1,14:33:35
Pedagogical Page Open Time,14:33:35
Pedagogical Page Close Time,14:33:37
Multiplechoice Page Open Time,14:33:37
Multiplechoice Page Close Time,14:33:39
Parte 2,14:33:39
Pedagogical Page Open Time,14:33:39
Parte 1,14:33:39
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:33:39
Pedagogical Page Close Time,14:33:43
Pedagogical2 Page Open Time,14:33:43
Pedagogical2 Page Close Time,14:33:43
Parte 3,14:33:43
Pedagogical Page Open Time,14:33:43
Pedagogical Page Close Time,14:33:44
Multiplechoice Page Open Time,14:33:44
Checkbox Selected: Verdadero,14:33:46
Multiplechoice Page Close Time,14:33:47
Parte 4,14:33:47
Draganddrop Page Open Time,14:33:47
Draganddrop Page Close Time,14:33:50
Pedagogical Page Open Time,14:33:50
Correct Answer Selected: print(729),14:33:50
Pedagogical Page Close Time,14:33:51
Parte 5,14:33:51
Multiplechoice Page Open Time,14:33:51
Checkbox Selected: comillas '' ,14:33:53
Multiplechoice Page Close Time,14:33:54
Pedagogical Page Open Time,14:33:54
Pedagogical Page Close Time,14:33:54
Parte 6,14:33:54
Pedagogical Page Open Time,14:33:54
Pedagogical Page Close Time,14:33:55

