"Modulo 1, Leccion 1",
Parte 1,14:40:45
Pedagogical Page Open Time,14:40:45
Pedagogical Page Close Time,14:40:46
Multiplechoice Page Open Time,14:40:46
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:40:48
Multiplechoice Page Close Time,14:40:49
Parte 2,14:40:49
Pedagogical Page Open Time,14:40:49
Pedagogical Page Close Time,14:40:52
Pedagogical2 Page Open Time,14:40:52
Pedagogical2 Page Close Time,14:40:52
Parte 3,14:40:52
Pedagogical Page Open Time,14:40:52
Pedagogical Page Close Time,14:40:53
Multiplechoice Page Open Time,14:40:53
Checkbox Selected: Verdadero,14:40:57
Multiplechoice Page Close Time,14:41:02
Parte 4,14:41:02
Draganddrop Page Open Time,14:41:02
Draganddrop Page Close Time,14:41:05
Pedagogical Page Open Time,14:41:05
Correct Answer Selected: print(729),14:41:05
Pedagogical Page Close Time,14:41:08
Parte 5,14:41:08
Multiplechoice Page Open Time,14:41:08
Multiplechoice Page Close Time,14:41:11
Pedagogical Page Open Time,14:41:11
Checkbox Selected: comillas '' ,14:41:11
Pedagogical Page Close Time,14:41:12
Parte 6,14:41:12
Pedagogical Page Open Time,14:41:12
Pedagogical Page Close Time,14:41:12

