"Modulo 1, Leccion 1",
Parte 1,09:14:53
Pedagogical Page Open Time,09:14:53
Pedagogical Page Close Time,09:14:55
Multiplechoice Page Open Time,09:14:55
Multiplechoice Page Close Time,09:14:58
Parte 2,09:14:58
Pedagogical Page Open Time,09:14:58
Parte 1,09:14:58
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:14:58
Pedagogical Page Close Time,09:15:04
Pedagogical2 Page Open Time,09:15:04
Pedagogical2 Page Close Time,09:15:04
Parte 3,09:15:04
Pedagogical Page Open Time,09:15:04
Pedagogical Page Close Time,09:15:05
Multiplechoice Page Open Time,09:15:05
Checkbox Selected: Verdadero,09:15:08
Multiplechoice Page Close Time,09:15:09
Parte 4,09:15:09
Draganddrop Page Open Time,09:15:09
Draganddrop Page Close Time,09:15:12
Pedagogical Page Open Time,09:15:12
Correct Answer Selected: print(729),09:15:12
Pedagogical Page Close Time,09:15:13
Parte 5,09:15:13
Multiplechoice Page Open Time,09:15:13
Checkbox Selected: comillas '' ,09:15:16
Multiplechoice Page Close Time,09:15:17
Pedagogical Page Open Time,09:15:17
Pedagogical Page Close Time,09:15:17
Parte 6,09:15:17
Pedagogical Page Open Time,09:15:17
Pedagogical Page Close Time,09:15:18

