"Modulo 1, Leccion 1",
Parte 1,14:20:23
Pedagogical Page Open Time,14:20:23
Pedagogical Page Close Time,14:20:25
Multiplechoice Page Open Time,14:20:25
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:20:27
Multiplechoice Page Close Time,14:20:28
Parte 2,14:20:28
Pedagogical Page Open Time,14:20:28
Pedagogical Page Close Time,14:20:31
Pedagogical2 Page Open Time,14:20:31
Pedagogical2 Page Close Time,14:20:32
Parte 3,14:20:32
Pedagogical Page Open Time,14:20:32
Pedagogical Page Close Time,14:20:32
Multiplechoice Page Open Time,14:20:32
Checkbox Selected: Verdadero,14:20:37
Multiplechoice Page Close Time,14:20:38
Parte 4,14:20:38
Draganddrop Page Open Time,14:20:38
Correct Answer Selected: print(729),14:20:40
Draganddrop Page Close Time,14:20:41
Pedagogical Page Open Time,14:20:41
Pedagogical Page Close Time,14:20:41
Parte 5,14:20:41
Multiplechoice Page Open Time,14:20:41
Multiplechoice Page Close Time,14:20:46
Pedagogical Page Open Time,14:20:46
Checkbox Selected: comillas '' ,14:20:46
Pedagogical Page Close Time,14:20:47
Parte 6,14:20:47
Pedagogical Page Open Time,14:20:47
Pedagogical Page Close Time,14:20:47

