"Modulo 1, Leccion 1",
Parte 1,21:08:17
Pedagogical Page Open Time,21:08:17
Pedagogical Page Close Time,21:08:23
Multiplechoice Page Open Time,21:08:23
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,21:08:26
Multiplechoice Page Close Time,21:08:29
Parte 2,21:08:29
Pedagogical Page Open Time,21:08:29
Pedagogical Page Close Time,21:08:32
Pedagogical2 Page Open Time,21:08:32
Pedagogical2 Page Close Time,21:08:33
Parte 3,21:08:33
Pedagogical Page Open Time,21:08:33
Pedagogical Page Close Time,21:08:33
Multiplechoice Page Open Time,21:08:33
Checkbox Selected: Verdadero,21:08:37
Multiplechoice Page Close Time,21:08:39
Parte 4,21:08:39
Draganddrop Page Open Time,21:08:39
Correct Answer Selected: print(729),21:08:42
Draganddrop Page Close Time,21:08:44
Pedagogical Page Open Time,21:08:44
Pedagogical Page Close Time,21:08:45
Parte 5,21:08:45
Multiplechoice Page Open Time,21:08:45
Checkbox Selected: comillas '' ,21:08:48
Multiplechoice Page Close Time,21:08:50
Pedagogical Page Open Time,21:08:50
Pedagogical Page Close Time,21:08:51
Parte 6,21:08:51
Pedagogical Page Open Time,21:08:51
Pedagogical Page Close Time,21:08:52

"Modulo 1, Leccion 2",
Parte 1,21:09:06
Pedagogical Page Open Time,21:09:06
Pedagogical Page Close Time,21:09:14
Pedagogical2 Page Open Time,21:09:14
Pedagogical2 Page Close Time,21:09:16
Parte 2,21:09:16
Completeblankspace Page Open Time,21:09:16
Incorrect Answer Selected: *,21:09:33
Correct Answer Selected: +,21:09:38
Completeblankspace Page Close Time,21:09:44
Pedagogical Page Open Time,21:09:44
Pedagogical Page Close Time,21:09:44
Parte 3,21:09:44
Draganddrop Page Open Time,21:09:44
Correct Answer Selected: print(42 * 3),21:09:56
Draganddrop Page Close Time,21:09:58
Pedagogical Page Open Time,21:09:58
Pedagogical Page Close Time,21:10:02
Parte 4,21:10:02
Multiplechoice Page Open Time,21:10:02
Correct Answer Selected: 4.0,21:10:05
Multiplechoice Page Close Time,21:10:06
Pedagogical Page Open Time,21:10:06
Pedagogical Page Close Time,21:10:09
Parte 5,21:10:09
Draganddrop Page Open Time,21:10:09
Correct Answer Selected: Entero:2,21:10:15
Correct Answer Selected: Flotante:3.14,21:10:15
Draganddrop Page Close Time,21:10:18
Pedagogical Page Open Time,21:10:18
Pedagogical Page Close Time,21:10:19
Parte 6,21:10:19
Pedagogical Page Open Time,21:10:19
Pedagogical Page Close Time,21:10:19
Pedagogical2 Page Open Time,21:10:19
Pedagogical2 Page Close Time,21:10:20
Parte 7,21:10:20
Pedagogical Page Open Time,21:10:20
Pedagogical Page Close Time,21:10:21

