"Modulo 1, Leccion 1",
Parte 1,09:13:52
Pedagogical Page Open Time,09:13:52
Pedagogical Page Close Time,09:13:55
Multiplechoice Page Open Time,09:13:55
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:13:58
Multiplechoice Page Close Time,09:13:59
Parte 2,09:13:59
Pedagogical Page Open Time,09:13:59
Pedagogical Page Close Time,09:14:02
Pedagogical2 Page Open Time,09:14:02
Pedagogical2 Page Close Time,09:14:03
Parte 3,09:14:03
Pedagogical Page Open Time,09:14:03
Pedagogical Page Close Time,09:14:04
Multiplechoice Page Open Time,09:14:04
Checkbox Selected: Verdadero,09:14:06
Multiplechoice Page Close Time,09:14:07
Parte 4,09:14:07
Draganddrop Page Open Time,09:14:07
Correct Answer Selected: print(729),09:14:14
Draganddrop Page Close Time,09:14:15
Pedagogical Page Open Time,09:14:15
Pedagogical Page Close Time,09:14:15
Parte 5,09:14:15
Multiplechoice Page Open Time,09:14:15
Checkbox Selected: comillas '' ,09:14:18
Multiplechoice Page Close Time,09:14:19
Pedagogical Page Open Time,09:14:19
Pedagogical Page Close Time,09:14:19
Parte 6,09:14:19
Pedagogical Page Open Time,09:14:19
Pedagogical Page Close Time,09:14:20

