"Modulo 1, Leccion 1",
Parte 1,09:28:30
Pedagogical Page Open Time,09:28:30
Pedagogical Page Close Time,09:28:32
Multiplechoice Page Open Time,09:28:32
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:28:33
Multiplechoice Page Close Time,09:28:36
Parte 2,09:28:36
Pedagogical Page Open Time,09:28:36
Pedagogical Page Close Time,09:28:39
Pedagogical2 Page Open Time,09:28:39
Pedagogical2 Page Close Time,09:28:40
Parte 3,09:28:40
Pedagogical Page Open Time,09:28:40
Pedagogical Page Close Time,09:28:41
Multiplechoice Page Open Time,09:28:41
Checkbox Selected: Verdadero,09:28:43
Multiplechoice Page Close Time,09:28:44
Parte 4,09:28:44
Draganddrop Page Open Time,09:28:44
Correct Answer Selected: print(729),09:28:46
Draganddrop Page Close Time,09:28:47
Pedagogical Page Open Time,09:28:47
Pedagogical Page Close Time,09:28:48
Parte 5,09:28:48
Multiplechoice Page Open Time,09:28:48
Multiplechoice Page Close Time,09:28:50
Pedagogical Page Open Time,09:28:50
Pedagogical Page Close Time,09:28:50
Parte 6,09:28:50
Pedagogical Page Open Time,09:28:50
Parte 5,09:28:50
Checkbox Selected: comillas '' ,09:28:50
Pedagogical Page Close Time,09:28:51

