"Modulo 1, Leccion 1",
Parte 1,18:31:06
Pedagogical Page Open Time,18:31:06
Pedagogical Page Close Time,18:31:08
Multiplechoice Page Open Time,18:31:08
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:31:10
Multiplechoice Page Close Time,18:31:11
Parte 2,18:31:11
Pedagogical Page Open Time,18:31:11
Pedagogical Page Close Time,18:31:13
Pedagogical2 Page Open Time,18:31:13
Pedagogical2 Page Close Time,18:31:14
Parte 3,18:31:14
Pedagogical Page Open Time,18:31:14
Pedagogical Page Close Time,18:31:15
Multiplechoice Page Open Time,18:31:15
Checkbox Selected: Verdadero,18:31:17
Multiplechoice Page Close Time,18:31:18
Parte 4,18:31:18
Draganddrop Page Open Time,18:31:18
Correct Answer Selected: print(729),18:31:20
Draganddrop Page Close Time,18:31:21
Pedagogical Page Open Time,18:31:21
Pedagogical Page Close Time,18:31:21
Parte 5,18:31:21
Multiplechoice Page Open Time,18:31:21
Multiplechoice Page Close Time,18:31:25
Pedagogical Page Open Time,18:31:25
Checkbox Selected: comillas '' ,18:31:25
Pedagogical Page Close Time,18:31:26
Parte 6,18:31:26
Pedagogical Page Open Time,18:31:26
Pedagogical Page Close Time,18:31:26

"Modulo 1, Leccion 2",
Parte 1,18:31:53
Pedagogical Page Open Time,18:31:53
Pedagogical Page Close Time,18:31:58
Pedagogical2 Page Open Time,18:31:58
Pedagogical2 Page Close Time,18:31:59
Parte 2,18:31:59
Completeblankspace Page Open Time,18:31:59
Incorrect Answer Selected: *,18:32:03
Correct Answer Selected: +,18:32:07
Completeblankspace Page Close Time,18:32:08
Pedagogical Page Open Time,18:32:08
Pedagogical Page Close Time,18:32:08
Parte 3,18:32:08
Draganddrop Page Open Time,18:32:08
Draganddrop Page Close Time,18:32:16
Pedagogical Page Open Time,18:32:16
Correct Answer Selected: print(42 * 3),18:32:16
Pedagogical Page Close Time,18:32:17
Parte 4,18:32:17
Multiplechoice Page Open Time,18:32:17
Correct Answer Selected: 4.0,18:32:35
Multiplechoice Page Close Time,18:32:37
Pedagogical Page Open Time,18:32:37
Pedagogical Page Close Time,18:32:41
Parte 5,18:32:41
Draganddrop Page Open Time,18:32:41
Correct Answer Selected: Entero:2,18:32:48
Correct Answer Selected: Flotante:3.14,18:32:48
Draganddrop Page Close Time,18:32:49
Pedagogical Page Open Time,18:32:49
Pedagogical Page Close Time,18:32:50
Parte 6,18:32:50
Pedagogical Page Open Time,18:32:50
Pedagogical Page Close Time,18:32:50
Pedagogical2 Page Open Time,18:32:50
Pedagogical2 Page Close Time,18:32:51
Parte 7,18:32:51
Pedagogical Page Open Time,18:32:51
Pedagogical Page Close Time,18:32:53

"Modulo 1, Leccion 3",
Parte 1,18:33:03
Pedagogical Page Open Time,18:33:03
Pedagogical Page Close Time,18:33:09
Pedagogical2 Page Open Time,18:33:09
Pedagogical2 Page Close Time,18:33:10
Parte 2,18:33:10
Multiplechoice Page Open Time,18:33:10
Checkbox Selected: 'Viernes',18:33:22
Checkbox Selected: 'The Lord of the Rings',18:33:22
Multiplechoice Page Close Time,18:33:24
Pedagogical Page Open Time,18:33:24
Pedagogical Page Close Time,18:33:29
Parte 3,18:33:29
Draganddrop Page Open Time,18:33:29
Correct Drop Event: Water,18:33:42
Correct Drop Event: +,18:33:42
Correct Drop Event: Park,18:33:42
Draganddrop Page Close Time,18:33:43
Pedagogical Page Open Time,18:33:43
Pedagogical Page Close Time,18:33:44
Parte 4,18:33:44
Multiplechoice Page Open Time,18:33:44
Checkbox Selected: '100',18:37:43
Checkbox Selected: 'Manzana',18:37:43
Multiplechoice Page Close Time,18:37:44
Draganddrop Page Open Time,18:37:44
Correct Answer Selected: 100,18:37:53
Correct Answer Selected: 100.00,18:37:53
Correct Answer Selected: 'cien',18:37:53
Draganddrop Page Close Time,18:37:54
Parte 5,18:37:54
Pedagogical Page Open Time,18:37:54
Pedagogical Page Close Time,18:37:55
Pedagogical2 Page Open Time,18:37:55
Pedagogical2 Page Close Time,18:37:56
Parte 6,18:37:56
Pedagogical Page Open Time,18:37:56
Pedagogical Page Close Time,18:37:56

