"Modulo 1, Leccion 1",
Parte 1,21:49:28
Pedagogical Page Open Time,21:49:28
Pedagogical Page Close Time,21:49:30
Multiplechoice Page Open Time,21:49:30
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,21:49:32
Multiplechoice Page Close Time,21:49:33
Parte 2,21:49:33
Pedagogical Page Open Time,21:49:33
Pedagogical Page Close Time,21:49:36
Pedagogical2 Page Open Time,21:49:36
Pedagogical2 Page Close Time,21:49:36
Parte 3,21:49:36
Pedagogical Page Open Time,21:49:36
Pedagogical Page Close Time,21:49:37
Multiplechoice Page Open Time,21:49:37
Multiplechoice Page Close Time,21:49:40
Parte 4,21:49:40
Draganddrop Page Open Time,21:49:40
Parte 3,21:49:40
Checkbox Selected: Verdadero,21:49:40
Parte 4,21:49:41
Incorrect Answer Selected: <Espacio para respuesta>(729),21:49:41
Draganddrop Page Close Time,21:49:44
Correct Answer Selected: print(729),21:49:44
Pedagogical Page Open Time,21:49:45
Pedagogical Page Close Time,21:49:45
Parte 5,21:49:45
Multiplechoice Page Open Time,21:49:45
Checkbox Selected: comillas '' ,21:49:48
Multiplechoice Page Close Time,21:50:05
Pedagogical Page Open Time,21:50:05
Pedagogical Page Close Time,21:50:06
Parte 6,21:50:06
Pedagogical Page Open Time,21:50:06
Pedagogical Page Close Time,21:50:07

